welding	Q131172
door handle	Q23009
dispenser	Q27098499
Axes	Q19888542
Reln	Q14331135
Smokestack Lightning	Q7545947
snowplow	Q14976
axe	Q39397
zipper	Q101761
Extrusion machine operator dies of head injuries received when his head became caught in extrusion machine rollers - South Carolina, March 14, 1994	Q26347604
Screwdrivers MC	Q117715471
binder clip	Q1435328
widget toolkit	Q1193246
bench grinder	Q2564323
hex key	Q16953
utility knife	Q23769
Picks	Q57649215
woodworking chisel	Q13221843
corkscrew	Q12337
induction heating	Q1155653
brazing	Q13389141
screwdriver bit	Q1519190
DENTAL drills	Q79327926
fuse	Q182221
duct	Q1453244
crucible tongs	Q10928827
brace	Q2662870
crane	Q178692
scroll saw	Q1183768
Background Intelligent Transfer Service	Q798439
clothes hanger	Q815240
rasp	Q277885
End mill	Q8194616
smithy	Q40558
GAS TANKS	Q126259308
Ball Bearings for Radial-Thrust Loading	Q59628268
Electric Wiring, Fittings, Switches and Lamps Electric Bells and Alarms	Q64307066
rolling-element bearing	Q1335987
machine screw	Q107437313
nail clipper	Q270380
CNC machine	Q13231055
meat grinder	Q899260
power miter saw	Q373255
telescopic crane	Q2106694
cordless drill	Q456101
goggles	Q72797
rail yard	Q19563580
cable tie	Q1500589
microscope	Q196538
belt sander	Q806370
chisel	Q474188
extension cord	Q1894990
file	Q193142
lifting hook	Q495451
Châlus	Q622720
machine	Q11019
drilling	Q890886
crosscut saw	Q291319
integrated circuit	Q80831
snow blower	Q1351693
rolling mill	Q1049792
RAPTOR King of Tough 250	Q1182913
Safety helmet	Q124445592
mallet	Q3202271
joinery	Q2183679
casting	Q496098
keyhole saw	Q765735
Hacienda La Laguna	Q5891062
scale	Q188488
test tube	Q88399897
cutting tool	Q1760958
woodworking machine	Q2027611
glove	Q169031
extruder	Q1366621
glassblower	Q1413824
fidget spinner	Q29279406
Pick tool for road milling	Q124654094
rubber band	Q256817
square academic cap	Q920507
Taps	Q1213746
pipe	Q104526
Swiss Army knife	Q23719
angle grinder	Q827274
Respirator masks protect health but impact performance: a review	Q26766662
Set Squares	Q108431872
wood saw	Q70802185
heating furnace	Q1709184
combination lock	Q2374786
self-tapping screw	Q2988641
grinding wheel	Q1931980
lumber	Q1370714
woodturning lathe	Q239990
hand drill	Q1133232
dredging	Q852170
Steel Foundry	Q21620084
bobbin	Q1520790
Heat torch	Q5693340
welding helmet	Q787354
blacksmith's hammer	Q2246394
steel bar	Q5405051
Vehicle mount	Q119270352
rock drill	Q11941822
shielded metal arc welding	Q1992360
milling cutter	Q1078463
hole saw	Q764324
bracelet	Q201664
kill switch	Q2001958
gas tungsten arc welding	Q1627310
ice auger	Q4401667
conveyor	Q1479946
Ceramic molding	Q5063668
hinge	Q244330
Ignition switch	Q4993268
Comptometer	Q572421
Toolbelt Diva	Q7824062
hearing protection	Q13405515
industrial equipment	Q3045515
heat cutter	Q12058409
stapler	Q489157
armour	Q485027
city block	Q1348006
CNC lathe	Q1023915
sawhorse	Q1421844
electrician	Q165029
robot welding	Q2327264
paintbrush	Q193897
threaded insert	Q1520669
steam engine	Q12760
sharpening stone	Q507559
TACKSMAN II	Q116971001
tie-down straps	Q1277336
vice	Q1411242
Air hose	Q105719289
Radial drilling link transmission and flex shaft protective cover	Q122326876
electric screwdriver	Q110705646
machine interface	Q81334
forest	Q4421
Dimple keys	Q11320183
worm drive	Q12529
crucible	Q390417
auger	Q1142501
belt	Q134560
Charles III of the United Kingdom	Q43274
Shanghai World Financial Center	Q80852
bulldozer	Q131677
well drilling	Q14693887
nameplate	Q2713450
patent	Q253623
angle bracket	Q39076453
crawler excavator	Q5182961
total station	Q641296
drywall anchor	Q56284371
concrete mixer	Q831584
Stone mortar & pestle, India, 1750-1850	Q112821074
glue	Q500548
rivet gun	Q7338813
ice saw	Q117052828
electric motor	Q72313
Welding torch	Q119823051
hook	Q4243098
tape dispenser	Q331533
Earth anchor	Q18019983
emergency sign	Q2146470
construction machine	Q102310586
COinS	Q1024186
nail gun	Q77257
glasses	Q37501
band saw	Q116971275
Rosie the Riveter	Q1650639
funnel	Q29957
door hinge	Q2464427
clipboard	Q244909
pruning shears	Q144764
CYLINDRICAL ROLLER BEARING LUBRICATION REGIMES ANALYSIS AT LOW SPEED AND PURE RADIAL LOAD	Q127477693
belt	Q623755
paper cutter	Q2205714
Dikes	Q37437171
machine tool	Q19768
caliper	Q12408
trip hammer	Q2121955
forklift truck	Q41577
Welders	Q108699591
woodchipper	Q1621575
hammer drill	Q19599600
filter press	Q647023
printing machine	Q12820205
torque screwdriver	Q1256552
telescopic handler	Q1943369
workpiece	Q2560552
coffee grinder	Q1139048
Casting mold	Q119519004
Keys	Q21491451
saw blade	Q4683254
Forge Hammer	Q129260716
woodworking workbench	Q1621597
driller	Q5307564
truck	Q43193
worker	Q327055
Milwaukee Electric Tool Corporation	Q6861736
brick	Q40089
steel mill	Q2069494
CUTTING WHEEL RESIDUES IN PLUTONIUM WASTE CAUSES EXPLOSION	Q77000951
Rallidae	Q26623
lathe operator	Q28933489
Scissor-Jack-Damper Energy Dissipation System	Q64114580
Hydraulic drill hole reaming technology with large flow and draining of coal mine gas	Q129627151
mechanical saw	Q70875100
ruler	Q104555
wire brush	Q45299
stonemason	Q328325
head saw	Q11993964
chop saw	Q128602183
bow saw	Q3744469
Door Latch	Q64570459
split pin	Q1412569
fuel tank	Q1411232
shield	Q131559
welding goggles	Q7980875
barrel	Q10289
Button Hook	Q116329433
hydraulic rescue tool	Q611035
correction tape	Q1863081
Air line	Q4698337
computer data storage device	Q66221
Hockey tape	Q5875735
Tool cabinet	Q1275728
water wheel	Q146728
nail	Q37077
Circular saw blade	Q123318722
claw hammer	Q3945253
random orbital sander	Q2455671
Chisel blade	Q116440842
Control Panel	Q1081102
welding joint	Q7980877
whiteboard	Q16354
office supply	Q2383811
Sawyers	Q56540597
Medical tools having tension bands	Q122599815
concrete saw	Q5159079
drill press	Q2211295
fishing hook	Q205276
bagpipes	Q8347
Light Bulbs	Q28568592
Screw Driver	Q79501070
Presses universitaires de France	Q1892146
steering wheel	Q679300
Cordless drills	Q68063456
Mixers	Q80857826
clothespin	Q267290
Safety Pins	Q11999067
Circular Saws and the History of Technology	Q59442969
railway track	Q160342
hex drive	Q23824436
blade	Q330946
Zippers	Q48818852
Clamps	Q112589797
lamp	Q1138737
Printing Presses and Publications Act	Q7245316
metalworking	Q953045
laser cutting	Q593053
beams	Q1206419
fence	Q148571
epoxy resins	Q143983
superglue	Q107407155
drillship	Q509222
hard hat	Q2058262
C-clamp	Q5005931
Metal Bar	Q100892463
Washers	Q11945252
protective gloves	Q2252300
bridge	Q12280
ship	Q11446
twist drill	Q56296876
bench	Q204776
Stamps	Q79701
text types	Q2298050
level	Q1046315
patent information	Q9372229
pulper	Q645424
drawing pin	Q406839
Grinding stones in India	Q124252047
brackets	Q174565
paper clip	Q8353
Tampa Bay Lightning	Q201864
Fidget spinners: Purported benefits, adverse effects and accepted alternatives.	Q39425702
Padlocks from the City	Q59180356
Power Tools VR	Q124069852
rail fastenings	Q2234662
Cutlers	Q122549995
grinding wheels & point	Q116971036
Riveters	Q76548573
Construction tools and equipment – their influence on accident causality	Q60219420
Hammers	Q37489626
metal casting	Q9268371
angle brackets	Q110502275
demolition shears	Q306848
Plain Bearings	Q59629990
wire cutters	Q1255405
Metalworking Tools from the Central Coast of Peru	Q59227884
Clothespins for laboratory glassware	Q73084355
mechanical device	Q1882685
electronics	Q11650
threshold effect	Q7798100
rotor	Q193466
knife	Q32489
Acorn Nuts and Diapey Butts	Q114509230
Chisels & Bits	Q114396271
Pressure lock bags	Q18335861
Ocean Drilling Program	Q613946
watermill	Q185187
wheel	Q446
welding glass	Q112265432
pressed glass	Q7241657
Steel coils	Q44545890
Windmills	Q61849520
Drilling Machines, Surface	Q26372504
jewelry	Q161439
computer file	Q82753
Amazon Locker	Q16974764
lumber yard	Q10436913
Foundries	Q123130999
rock-paper-scissors	Q106631
Water Wheels Lake Number 1 Dam	Q31579438
resin casting	Q906963
LED bulbs technical specification and testing procedure for solar home systems	Q55880345
Excavators	Q105376597
oxy-fuel cutting	Q33101028
E27 Edison screw	Q74840051
die casting	Q3325511
Wrenches in the works: drug discovery targeting the SCF ubiquitin ligase and APC/C complexes	Q33307883
Mechanical screwdriver for the nail-plate operation	Q73501094
Surgical saws	Q18748667
decorative tape	Q116960449
arc welding	Q422937
semi-finished casting product	Q867705
black	Q23445
face shield	Q5428384
Wringer washers and salt-lick goiter: a case for rural medicine	Q70965225
knurling tool	Q106827110
measuring instrument	Q2041172
gauge block	Q1340688
wood screw	Q54806448
road roller	Q216842
millstone	Q670985
caulking gun	Q1734658
heavy equipment	Q874311
cable cutter	Q11301405
hatchet	Q672890
wire saw	Q689574
Grinding Tools at the Third Intermediate Period Tell el-Retaba	Q127787630
bookbinding press	Q107196990
Forges	Q243155
jar	Q1207302
grindstone	Q4990615
Continuous Miner Noise Control	Q26215525
thread-locking fluid	Q2249485
oscillating multi-tool	Q6934510
rivet	Q212500
reciprocating saw	Q2282074
coping saw	Q17084518
Gravestones	Q108260271
Hydrogen voltage gated channel 1	Q21107673
two-man saw	Q143041
ball-peen hammer	Q1535657
chuck	Q19818
CNC router	Q16251414
fulling	Q1585730
ingot	Q83893
backsaw	Q1402035
electric chainsaw	Q128601795
Pallets-Sphinx-Themes	Q107383393
try square	Q569316
protective device	Q3030569
Vernier calipers	Q25921354
network switch	Q4503
reinforcing bar	Q150425
stamping machine	Q18891559
gas cylinder	Q774332
sheep shears	Q1533174
masking tape	Q3775755
plumbing fittings & support	Q116970842
welding power supply	Q1936800
bronze casting	Q928402
machining	Q192047
Floor sander dies when wood floor refinish product ignites	Q24724975
SDS	Q458278
Boring machine	Q3933812
drilling equipment	Q111436852
scotch tape	Q259589
jointer	Q1253445
Print machine operator is strangled when his shirt is caught on a rotating knob	Q24852414
thimble	Q8955276
sandpaper	Q142274
Phillips-head screw	Q128560689
stone saw	Q2341315
Railway equipment industry in the People's Republic of China	Q7284249
Jigsaw	Q15712110
oxy-fuel welding and cutting	Q118568
Wood planer control: Predictive and prescriptive approaches via Automatic State Matching Gaussian processes	Q129697162
Cutting tools	Q123683229
train surfing	Q1354582
Punches	Q37564719
screw pump	Q1047037
bicycle	Q11442
South Bend Lathe Works	Q7566306
ice screw	Q71865
Push Pins, Dots, Customisation, Brands and Services: The Three Waves of Making Digital Maps	Q73180554
bell	Q101401
tweezers	Q192504
gas metal arc welding	Q1765723
mortar	Q189566
Welding robots	Q59274840
Woodworking Shop	Q40155795
Factory Floor	Q5428767
Machining Centers Manufacturing	Q30284915
molcajete	Q2572032
Ahsoka Tano	Q51755
The Machinists	Q19572770
Jigsaws-a preserved ability in semantic dementia	Q33346328
forging	Q193057
riveter	Q72981050
Soldering	Q7557228
Global Boundary Stratotype Section and Point	Q37402
Edison screw	Q1764334
height gauge	Q2283738
Cal Poly Humboldt Lumberjacks	Q16191455
Metal slab superlens-negative refractive index versus inclined illumination: discussion.	Q50854824
Bolt Cutters (second state)	Q77006266
Flame cutting machines	Q25386326
Meat grinders and molecular epidemiology: two supermarket outbreaks of Escherichia coli O157:H7 infection.	Q54594889
razor	Q13422881
Anvils and Trapped Wheel	Q64513255
engraving machine	Q1447435
Directional drilling	Q1422489
Cancer	Q8849
millstone dressing	Q2348670
Horizontal drilling machine with an in-situ detection device	Q125831877
combination machine	Q2069500
Water jet cutter	Q660875
hoe	Q131154
razor sharpener	Q107196578
YubiKey	Q19600525
utility vehicle	Q3564023
screw gun	Q15807771
knurling	Q499954
Adhesive tapes in the special care baby unit	Q47647295
Master Lock	Q12859031
box-sealing tape	Q4951474
C clamps in the Begg technique	Q70926066
Chubb Fire & Security Group	Q5115258
Squares	Q48890502
Compact Driller	Q117073069
filing	Q1126002
Spax screws	Q1569385
Locks	Q10854629
Sawmills	Q2023378
Millstones	Q15121807
Self Tapping Screws v/s Erich Arch Bar for Inter Maxillary Fixation: A Comparative Clinical Study in the Treatment of Mandibular Fractures	Q38538595
Visé	Q49743
combination tool	Q111467266
Umbrellas	Q100372239
Solder suckers	Q97375952
orthopedic equipment	Q72085708
Hinges	Q1043177
hand press	Q20820224
Kobelco Cranes	Q11302404
woodchippers	Q14906751
sewing kit	Q33523821
Cutting Machines and Cutting	Q26377691
Teaspoon (fishing hook)	Q24251437
Dowel pins	Q67505082
love padlocks of Hohenzollern Bridge	Q99964508
ball mill	Q781139
adhesive	Q131790
oils and fats industry	Q56880804
grinding	Q3680646
textile machine	Q1573728
hyperbaric welding	Q2346649
boat hook	Q4339908
LORAM Maintenance of Way, Inc.	Q4042484
🔩	Q87581011
Coffee grinders assist pediatric dosing	Q73823603
Key fobs for vehicle remote park-assist	Q119361046
keyway	Q488855
Greater Short-toed Lark	Q24843
balloon framing	Q21550385
suspenders	Q109742
Micrometers for the Blind	Q83865946
Coraciidae	Q44245
pole lathe	Q7209259
Three-point hitch hooks	Q1395608
tower crane	Q1536423
bearing	Q190100
rotary printing press	Q911814
pneumatic tool	Q3635139
micrometre	Q175821
wrench	Q154411
Hairpin clip	Q5639563
hacksaw	Q1195804
Railroad Tracks	Q122313895
The Cider Press Public House	Q26666059
pike	Q165278
bicycle lock	Q1392592
railroad car	Q208502
computer numerical control	Q190247
fire hydrant	Q634299
Compact Fluorescent Light Bulbs (CFLs): Issues with Use and Disposal	Q59639674
vehicle	Q42889
lawn mower	Q260521
spade bit	Q107637124
keychain	Q51338
tile cutter	Q27103691
Snow Mobile Saalbach Hinterglemm	Q18027944
Hope Su	Q551904
construction worker	Q811122
butcher	Q329737
I-beam	Q1780087
pipe	Q41551
Engineering Drawing	Q48772217
knife grinder	Q4990607
tool handle	Q17504947
ventilator	Q813243
heat gun	Q1057985
plate	Q57216
winding machine	Q8024248
Szyny były złe	Q110278971
screw extractor	Q1467847
power hammer	Q3446739
Nine Pound Hammer	Q4045353
airplane	Q197
Talaadah	Q15982279
AC power socket	Q24237712
fire extinguisher	Q190672
flanging	Q1323480
safety pin	Q840333
hand axe	Q479448
Crackmeter	Q1551087
human-machine interface	Q4508598
circlip tool	Q100869637
Tweezer	Q60778901
PVA glue	Q2545787
Steel Bars and Stone Walls	Q114509254
continuous casting	Q1506832
Buck Saw	Q64593274
steam locomotive	Q171043
Industrial vehicle	Q123996383
Meta-workflows	Q29999390
Shredders	Q107215441
robot end effector	Q1340324
robotic arm	Q40687
Bevel gear	Q2144215
Grinders	Q3116751
AutoForge	Q126693120
Hasps	Q64537775
ABUS	Q287612
Lādlesāhebcha Dongar	Q26802849
power tool	Q1327701
locomotive	Q93301
Museum of cutting blades and Palazzo Vicari	Q3867900
Wappenschmiede Elmstein	Q17265437
uterine tube	Q1233836
Oil Seal	Q59629885
clasp	Q2239762
Exploratory drilling for evidence of zinc and lead ore in Dubuque County, Iowa	Q61460064
On/off-switchable LSPR nano-immunoassay for troponin-T.	Q41854642
plasma cutting	Q1385316
Lightbulbs	Q6546260
hot glue gun	Q1304613
Shovels & Rope	Q7502880
Nuts and Bolts	Q7070541
pedal	Q1231985
spot welding	Q2327972
metallurgy	Q11467
Cutters	Q114495207
Cement truck driver dies after being backed over by a skid-steer loader - South Carolina	Q24706578
pruning knife	Q111337192
cigar cutter	Q182058
Crucibles of leadership.	Q45945499
Quernstones and Tuff as indicators for Medieval European trade patterns	Q62076677
Pulleys Mill	Q7259449
flashlight	Q235783
clasps & hook	Q116960426
safe	Q471898
sugar tongs	Q36256949
Springs	Q761408
De Gekroonde Poelenburg	Q2020965
press cake breakers	Q2886239
Obere Hammerschmiede	Q41317189
oxy-fuel welding	Q56558509
Laser welding of polymers	Q55616589
Glass worker's benches	Q2881990
winery	Q156362
Grape Processing by High Hydrostatic Pressure: Effect on Microbial Populations, Phenol Extraction and Wine Quality	Q58763943
Adjustable clamp systems and methods	Q125940027
Threads	Q120281745
relay	Q174053
kitchenware	Q1521410
Primula veris	Q157552
scythe	Q130912
Rotating brush for fast removal of corneal epithelium.	Q34293021
Fur presses	Q98648902
Tracks	Q7831579
fishplate	Q2143500
Bores	Q37034388
Saw Blades and Handsaws	Q123187320
Safety-helmets	Q49162956
needlegun scaler	Q1963205
Oxyacetylene blowpipes	Q2921520
Core samples for radiomics features that are insensitive to tumor segmentation: method and pilot study using CT images of hepatocellular carcinoma	Q36294539
SawStop	Q7428485
Chuck Taylor All-Stars	Q11599
vending machine	Q211584
Spinnenkop Wedderveer	Q2272283
Trephines for keratoplasty with micrometric regulation	Q80690908
lifting hooks, clamps & shackle	Q117207436
Mangles	Q36905947
Kola Superdeep Borehole	Q19572
medical tape & bandage	Q116220928
Iron Foundries	Q123132052
Federacion dels Ensenhaires de Lenga e Cultura d'Òc	Q11921644
Gas Cylinders	Q93835461
saber saw	Q3475711
Wooden Dowels	Q64158454
continuous track	Q940913
De Held Jozua	Q2660889
Augers-en-Brie	Q760408
Houtzaagmolen	Q19264200
friction stir welding	Q2068127
KSP-32 monument in Donetsk	Q125523552
high speed steel	Q1127242
Golden Spike National Historical Park	Q1535051
Spherical Roller Bearings	Q59630604
Stone chisels from Wood Walton, Huntingdonshire	Q59179040
Reamers	Q109121046
Milling Process Monitoring Based on Vibration Analysis Using Hilbert-Huang Transform	Q129325743
Taking Measurements - The Artist Copying a Cast in the Hall of the National Gallery of Ireland	Q77965475
Watermill at Singraven	Q11721782
nailing	Q10675690
oxy-fuel welding and cutting equipment	Q241230
Extruderschnecke	Q1385537
Cable Ties	Q110047851
skeleton key	Q427440
Hammerschmiede Kamp	Q38002280
Speno	Q2078873
laser scanning	Q1361664
Diamond anvil cell	Q1208616
D'Heesterboom	Q11722027
Haas Automation	Q4040329
square	Q174782
Centrifuge tube	Q88484833
burr mill	Q96966430
hexagon nut	Q43889008
Snowblower belt drive system	Q122157280
tablet press	Q7673461
Welds Hill	Q31656914
Door Hinges	Q64580494
flat head screw	Q128561205
Fluorescent Light Bronchoscopy Plus White Light Bronchoscopy for Early Detection of Lung Cancer	Q66036996
Conduit	Q13553732
leaf blower	Q1450186
toolbox	Q1501161
log splitter	Q1625730
warning signal	Q2549582
Signs	Q2285224
rotary saw	Q2036582
meat slicer	Q117207985
soldering station	Q1879849
electric generator	Q131502
Dial	Q19902200
turning	Q258127
Hami Airport	Q3886447
gear shaping	Q1700991
teapot	Q245005
electrochemical machining	Q1196855
barcode game console	Q123146136
statue	Q179700
Dremel	Q1258332
calculator	Q31087
Digipass	Q2604110
Tool belt	Q123193932
topping lift	Q607634
Steel cable injuries in sailors	Q72283402
assembly line	Q455037
conflagration	Q168983
rubber mallet	Q1554469
Hack Saw	Q64619114
Rasps for the Per-nasal Frontal Sinus Operation	Q85021487
Work stations for computer-graphic display in medical imaging	Q69612787
Steel Plates Subjected to Uniform Blast Loading	Q57654691
oxygen tank	Q11680736
CNC wood router	Q5013096
resistor	Q5321
glass casting	Q5567097
Warrington hammer	Q99385805
Gauge Blocks - A Zombie Technology	Q36303367
electrical network	Q132629
Tent pegs for clathrin	Q59666534
Dura-Europos archival photograph, YUAG Negative number 1938'5170~02	Q122564063
oxy-acetylene welding	Q3776790
Nippers	Q1993271
wing nut	Q8025239
Whetstone Mountains	Q4019477
